#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-06-17T14:36:40 [V7.33.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2024-06-17T14:36:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-source=J/ApJS/161/304/models&-order=I&-out=Cluster&-out=Mod&-out=W0/gamma&-out=E_W0/gamma&-out=e_W0/gamma&-out=r0pc&-out=E_r0pc&-out=e_r0pc&-out=Mtot&-out=E_Mtot&-out=e_Mtot&-out=sigp0&-out=vesc0&-out=Rad&-out=kappa1&-out=kappa2&-out=kappa3&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.33.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21610304
#Name: J/ApJS/161/304
#Title: Star clusters in the Milky Way and satellites (McLaughlin+, 2005)
#INFO	ivoid=ivo://cds.vizier/j/apjs/161/304	    IVOID of underlying data collection
#INFO	creator=McLaughlin D.E.	    First author or institution
#INFO	cites=bibcode:2005ApJS..161..304M	    Article or Data origin sources
#INFO	editor=Astrophysical Journal Supplement (AAS)	    Editor name (article)
#INFO	original_date=2005	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/161/304	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21610304	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_161_304_models:
#Name: J/ApJS/161/304/models
#Title: Results of models: basic fit parameters,  structural and dynamical parameters, radii and {kappa}-space parameters
#Column	Cluster	(a11)	Cluster name with galaxy prefix	[ucd=meta.id;meta.main]
#Column	Mod	(A2)	[KW PL] Model fit (G1)	[ucd=meta.id;stat.fit]
#Column	W0/gamma	(F5.2)	Dimensionless central potential (6)	[ucd=stat.fit.param]
#Column	E_W0/gamma	(F5.2)	Upper 1{sigma} error in WO	[ucd=stat.error;stat.max]
#Column	e_W0/gamma	(F5.2)	Lower 1{sigma} error in WO	[ucd=stat.error]
#Column	r0pc	(F7.3)	Scale radius in parsecs	[ucd=phys.size.radius;instr.scale]
#Column	E_r0pc	(F6.3)	Upper 1{sigma} error in r0pc	[ucd=stat.error;stat.max]
#Column	e_r0pc	(F6.3)	Lower 1{sigma} error in r0pc	[ucd=stat.error]
#Column	Mtot	(F5.2)	Log of total model mass	[ucd=phys.mass;meta.modelled]
#Column	E_Mtot	(F5.2)	Upper 1{sigma} error in Mtot	[ucd=stat.error;stat.max]
#Column	e_Mtot	(F5.2)	Lower 1{sigma} error in Mtot	[ucd=stat.error]
#Column	sigp0	(F5.2)	Velocity dispersion at R=0	[ucd=phys.veloc.dispersion]
#Column	vesc0	(F5.2)	Escape velocity at R=0	[ucd=phys.veloc.escape]
#Column	Rad	(F6.2)	Distance from center of parent galaxy (1)	[ucd=pos.distance]
#Column	kappa1	(F6.3)	kappa_1_ fundamental-plane parameter (2)	[ucd=stat.param]
#Column	kappa2	(F6.3)	kappa_2_ fundmental-plane parameter (2)	[ucd=stat.param]
#Column	kappa3	(F6.3)	kappa_3_ fundamental-plane parameter (2)	[ucd=stat.param]
Cluster	Mod	W0/gamma	E_W0/gamma	e_W0/gamma	r0pc	E_r0pc	e_r0pc	Mtot	E_Mtot	e_Mtot	sigp0	vesc0	Rad	kappa1	kappa2	kappa3
MW-NGC5986 	K 	 5.90	 0.10	 0.10	  1.540	 0.050	 0.050	 5.45	 0.05	 0.05	 7.62	29.62	  4.84	-0.539	 4.552	 0.498
MW-NGC5986 	PL	 4.90	 0.05	 0.10	  2.600	 0.050	 0.100	 5.47	 0.05	 0.05	 8.28	30.60	  4.84	-0.518	 4.684	 0.503
MW-NGC5986 	W 	 4.90	 0.20	 0.10	  1.870	 0.050	 0.100	 5.46	 0.05	 0.05	 7.94	30.08	  4.84	-0.531	 4.622	 0.500
MW-NGC6093 	K 	 7.50	 0.10	 0.10	  0.460	 0.020	 0.020	 5.44	 0.04	 0.04	10.37	42.71	  3.78	-0.511	 5.122	 0.523
MW-NGC6093 	PL	 3.70	 0.05	 0.05	  0.670	 0.030	 0.030	 5.46	 0.04	 0.04	10.88	42.51	  3.78	-0.496	 5.196	 0.525
MW-NGC6093 	W 	 6.70	 0.10	 0.10	  0.560	 0.020	 0.020	 5.43	 0.04	 0.04	10.75	42.78	  3.78	-0.523	 5.228	 0.517
MW-NGC6101 	K 	 0.30	 0.80	 0.00	 17.210	 0.000	 8.320	 4.76	 0.04	 0.04	 2.91	10.03	 11.14	-0.994	 3.252	 0.522
MW-NGC6101 	PL	20.00	 0.00	 7.00	 15.920	 0.000	 3.710	 4.76	 0.04	 0.04	 2.92	10.05	 11.14	-0.991	 3.259	 0.523
MW-NGC6101 	W 	 0.10	 0.70	 0.00	 30.300	 0.000	19.600	 4.77	 0.04	 0.04	 2.82	 9.99	 11.14	-1.000	 3.210	 0.512
MW-NGC6121 	K 	 7.40	 0.10	 0.10	  0.770	 0.020	 0.020	 5.05	 0.06	 0.06	 5.25	21.54	  5.94	-0.789	 4.139	 0.535
MW-NGC6121 	PL	 3.30	 0.05	 0.05	  0.870	 0.040	 0.040	 5.27	 0.08	 0.07	 5.30	21.48	  5.94	-0.432	 3.303	 0.702
MW-NGC6121 	W 	 7.10	 0.10	 0.10	  0.870	 0.020	 0.020	 5.10	 0.06	 0.06	 5.34	21.55	  5.94	-0.736	 4.058	 0.553
MW-NGC6139 	K 	 8.10	 0.10	 0.10	  0.440	 0.010	 0.010	 5.51	 0.10	 0.10	 9.93	41.93	  3.61	-0.431	 4.852	 0.550
MW-NGC6139 	PL	 3.05	 0.10	 0.00	  0.460	 0.040	 0.000	 6.30	 0.10	 0.43	10.08	42.38	  3.61	 3.317	-5.287	 3.153
MW-NGC6139 	W 	 8.00	 0.10	 0.20	  0.480	 0.020	 0.010	 5.64	 0.10	 0.11	10.10	42.22	  3.61	-0.224	 4.400	 0.642
MW-NGC6171 	K 	 7.00	 0.20	 0.10	  1.100	 0.020	 0.040	 4.90	 0.06	 0.06	 3.99	16.12	  3.28	-0.912	 3.767	 0.536
MW-NGC6171 	PL	 3.40	 0.10	 0.05	  1.230	 0.080	 0.040	 5.07	 0.07	 0.08	 4.04	16.19	  3.28	-0.672	 3.240	 0.632
MW-NGC6171 	W 	 6.80	 0.20	 0.20	  1.200	 0.040	 0.040	 4.94	 0.06	 0.06	 4.05	16.18	  3.28	-0.870	 3.707	 0.549
MW-NGC6205 	K 	 7.00	 0.10	 0.10	  1.300	 0.070	 0.070	 5.57	 0.04	 0.04	 7.94	32.05	  8.66	-0.441	 4.449	 0.510
MW-NGC6205 	PL	 5.10	 0.10	 0.05	  3.540	 0.190	 0.100	 5.68	 0.04	 0.04	 9.39	34.50	  8.66	-0.368	 4.688	 0.504
MW-NGC6205 	W 	 5.40	 0.20	 0.10	  2.030	 0.100	 0.190	 5.64	 0.04	 0.04	 8.88	34.06	  8.66	-0.398	 4.628	 0.501
MW-NGC6218 	K 	 6.10	 0.20	 0.10	  1.230	 0.050	 0.100	 4.95	 0.04	 0.04	 4.66	18.22	  4.55	-0.892	 4.111	 0.501
MW-NGC6218 	PL	 4.95	 0.10	 0.10	  2.340	 0.100	 0.100	 4.97	 0.04	 0.04	 4.96	18.31	  4.55	-0.871	 4.202	 0.505
MW-NGC6218 	W 	 4.90	 0.20	 0.10	  1.610	 0.050	 0.100	 4.96	 0.04	 0.04	 4.86	18.40	  4.55	-0.881	 4.178	 0.502
MW-NGC6229 	K 	 6.90	 0.20	 0.10	  1.140	 0.040	 0.080	 5.36	 0.04	 0.04	 6.84	27.53	 29.72	-0.586	 4.383	 0.511
MW-NGC6229 	PL	 4.10	 0.05	 0.10	  1.880	 0.060	 0.120	 5.39	 0.04	 0.04	 7.27	27.69	 29.72	-0.568	 4.482	 0.510
MW-NGC6229 	W 	 6.10	 0.10	 0.10	  1.380	 0.050	 0.050	 5.38	 0.04	 0.04	 7.14	27.89	 29.72	-0.579	 4.466	 0.509
MW-NGC6235 	K 	 7.00	 0.30	 0.40	  1.140	 0.060	 0.040	 4.84	 0.06	 0.06	 3.68	14.85	  4.12	-0.953	 3.694	 0.514
MW-NGC6235 	PL	 3.30	 0.15	 0.15	  1.220	 0.100	 0.110	 5.11	 0.24	 0.12	 3.70	15.02	  4.12	-0.549	 2.757	 0.692
MW-NGC6235 	W 	 7.20	 0.50	 0.40	  1.180	 0.050	 0.060	 4.94	 0.11	 0.08	 3.71	15.02	  4.12	-0.839	 3.465	 0.550
MW-NGC6254 	K 	 6.50	 0.10	 0.10	  1.050	 0.040	 0.040	 5.18	 0.05	 0.05	 6.17	24.46	  4.57	-0.724	 4.413	 0.503
MW-NGC6254 	PL	 4.20	 0.05	 0.10	  1.620	 0.040	 0.090	 5.21	 0.05	 0.05	 6.56	24.86	  4.57	-0.699	 4.496	 0.506
MW-NGC6254 	W 	 5.70	 0.10	 0.10	  1.260	 0.040	 0.040	 5.19	 0.05	 0.05	 6.42	24.78	  4.57	-0.715	 4.483	 0.503
MW-NGC6266 	K 	 7.60	 0.10	 0.10	  0.460	 0.020	 0.020	 5.86	 0.07	 0.07	16.57	68.51	  1.70	-0.208	 5.573	 0.537
MW-NGC6266 	PL	 3.40	 0.05	 0.10	  0.580	 0.020	 0.050	 6.00	 0.09	 0.07	17.09	68.56	  1.70	-0.020	 5.204	 0.615
MW-NGC6266 	W 	 7.10	 0.10	 0.20	  0.530	 0.030	 0.020	 5.90	 0.07	 0.07	17.04	68.74	  1.70	-0.173	 5.559	 0.547
MW-NGC6273 	K 	 7.00	 0.10	 0.20	  1.130	 0.060	 0.030	 5.84	 0.06	 0.06	11.56	46.69	  1.57	-0.250	 4.922	 0.508
MW-NGC6273 	PL	 3.70	 0.05	 0.05	  1.500	 0.040	 0.040	 5.90	 0.06	 0.06	12.09	47.22	  1.57	-0.185	 4.879	 0.525
MW-NGC6273 	W 	 6.40	 0.10	 0.10	  1.310	 0.030	 0.030	 5.85	 0.06	 0.06	11.98	47.21	  1.57	-0.240	 4.978	 0.509
MW-NGC6287 	K 	 6.50	 0.30	 0.20	  0.850	 0.030	 0.040	 5.06	 0.08	 0.08	 5.98	23.70	  2.11	-0.809	 4.493	 0.504
MW-NGC6287 	PL	 3.40	 0.10	 0.10	  0.910	 0.060	 0.060	 5.28	 0.11	 0.10	 5.99	24.04	  2.11	-0.524	 3.858	 0.607
MW-NGC6287 	W 	 6.70	 0.20	 0.30	  0.880	 0.040	 0.020	 5.13	 0.09	 0.09	 5.99	23.85	  2.11	-0.740	 4.355	 0.520
MW-NGC6316 	K 	 7.40	 0.10	 0.20	  0.580	 0.020	 0.010	 5.37	 0.08	 0.08	 8.73	35.83	  3.14	-0.564	 4.734	 0.605
MW-NGC6316 	PL	 3.20	 0.05	 0.05	  0.610	 0.020	 0.020	 5.72	 0.12	 0.11	 8.80	36.17	  3.14	 0.126	 3.043	 0.966
MW-NGC6316 	W 	 7.40	 0.20	 0.20	  0.620	 0.020	 0.020	 5.46	 0.09	 0.09	 8.82	35.98	  3.14	-0.450	 4.496	 0.647
MW-NGC6333 	K 	 6.00	 0.10	 0.20	  1.120	 0.050	 0.020	 5.33	 0.06	 0.06	 7.72	30.10	  1.68	-0.621	 4.722	 0.497
MW-NGC6333 	PL	 4.15	 0.10	 0.10	  1.530	 0.060	 0.060	 5.38	 0.06	 0.06	 8.06	30.62	  1.68	-0.579	 4.729	 0.504
MW-NGC6333 	W 	 5.50	 0.20	 0.20	  1.260	 0.050	 0.050	 5.35	 0.06	 0.06	 7.90	30.38	  1.68	-0.607	 4.744	 0.499
MW-NGC6341 	K 	 7.50	 0.10	 0.10	  0.640	 0.040	 0.040	 5.43	 0.04	 0.04	 8.71	35.88	  9.59	-0.518	 4.753	 0.531
MW-NGC6341 	PL	 4.60	 0.10	 0.05	  1.810	 0.140	 0.070	 5.45	 0.04	 0.04	 9.13	34.05	  9.59	-0.531	 4.904	 0.509
MW-NGC6341 	W 	 5.90	 0.10	 0.10	  1.050	 0.070	 0.060	 5.46	 0.04	 0.04	 9.28	36.05	  9.59	-0.524	 4.927	 0.510
MW-NGC6356 	K 	 7.20	 0.20	 0.10	  1.110	 0.020	 0.030	 5.77	 0.06	 0.06	10.39	42.27	  7.51	-0.293	 4.630	 0.606
MW-NGC6356 	PL	 3.15	 0.10	 0.05	  1.110	 0.080	 0.040	 6.24	 0.16	 0.18	10.33	42.75	  7.51	 0.768	 1.941	 1.200
MW-NGC6356 	W 	 7.40	 0.20	 0.10	  1.150	 0.020	 0.030	 5.88	 0.07	 0.06	10.43	42.58	  7.51	-0.155	 4.333	 0.654
MW-NGC6362 	K 	 5.30	 0.20	 0.30	  2.790	 0.160	 0.100	 5.03	 0.04	 0.04	 3.83	14.60	  5.15	-0.832	 3.543	 0.533
MW-NGC6362 	PL	 4.45	 0.25	 0.25	  3.800	 0.300	 0.320	 5.08	 0.04	 0.04	 3.95	14.81	  5.15	-0.796	 3.539	 0.538
MW-NGC6362 	W 	 4.80	 0.40	 0.40	  3.130	 0.220	 0.200	 5.05	 0.04	 0.04	 3.90	14.73	  5.15	-0.818	 3.554	 0.535
MW-NGC6366 	K 	 3.40	 0.60	 0.60	  2.920	 0.430	 0.340	 4.78	 0.10	 0.10	 3.57	12.96	  4.93	-0.996	 3.647	 0.556
MW-NGC6366 	PL	 6.40	 1.20	 0.90	  4.420	 0.790	 0.660	 4.81	 0.10	 0.10	 3.64	13.08	  4.93	-0.977	 3.652	 0.558
MW-NGC6366 	W 	 2.00	 1.00	 1.50	  4.060	 4.380	 0.860	 4.79	 0.10	 0.10	 3.60	13.01	  4.93	-0.988	 3.651	 0.557
MW-NGC6388 	K 	 7.60	 0.10	 0.10	  0.380	 0.020	 0.020	 6.02	 0.07	 0.07	21.94	90.73	  3.20	-0.095	 5.881	 0.605
MW-NGC6388 	PL	 3.55	 0.05	 0.05	  0.530	 0.020	 0.020	 6.11	 0.07	 0.07	23.35	92.32	  3.20	-0.008	 5.829	 0.628
MW-NGC6388 	W 	 6.80	 0.20	 0.10	  0.470	 0.020	 0.030	 6.05	 0.07	 0.07	23.11	92.27	  3.20	-0.086	 5.983	 0.599
MW-NGC6402 	K 	 4.80	 0.20	 0.20	  2.440	 0.110	 0.100	 5.80	 0.08	 0.08	10.53	39.59	  4.10	-0.290	 4.798	 0.504
MW-NGC6402 	PL	 5.00	 0.20	 0.15	  3.570	 0.190	 0.150	 5.82	 0.08	 0.08	10.83	39.90	  4.10	-0.268	 4.812	 0.508
MW-NGC6402 	W 	 4.00	 0.20	 0.30	  2.860	 0.170	 0.110	 5.80	 0.08	 0.08	10.65	39.63	  4.10	-0.284	 4.809	 0.506
MW-NGC6440 	K 	 7.30	 0.10	 0.20	  0.350	 0.020	 0.010	 5.77	 0.14	 0.14	18.39	75.14	  1.32	-0.284	 5.792	 0.633
MW-NGC6440 	PL	 3.40	 0.05	 0.10	  0.420	 0.020	 0.040	 5.93	 0.16	 0.14	18.59	74.58	  1.32	-0.063	 5.309	 0.721
MW-NGC6440 	W 	 7.00	 0.10	 0.20	  0.390	 0.020	 0.010	 5.81	 0.14	 0.14	18.51	74.43	  1.32	-0.238	 5.705	 0.648
MW-NGC6441 	K 	 7.70	 0.10	 0.10	  0.460	 0.010	 0.010	 6.16	 0.08	 0.08	22.85	94.87	  3.87	 0.006	 5.771	 0.619
MW-NGC6441 	PL	 3.40	 0.05	 0.10	  0.580	 0.020	 0.040	 6.27	 0.11	 0.08	23.54	94.42	  3.87	 0.177	 5.435	 0.692
MW-NGC6441 	W 	 7.10	 0.10	 0.10	  0.530	 0.010	 0.010	 6.17	 0.08	 0.08	23.46	94.67	  3.87	 0.023	 5.790	 0.625
MW-NGC6496 	K 	 0.30	 4.30	 0.00	 12.640	 0.000	 9.040	 4.76	 0.19	 0.05	 3.41	11.78	  4.35	-0.990	 3.485	 0.595
MW-NGC6496 	PL	20.00	 0.00	15.75	 11.650	 0.000	 7.380	 4.76	 0.27	 0.05	 3.43	11.78	  4.35	-0.989	 3.492	 0.596
MW-NGC6496 	W 	 0.10	 6.30	 0.00	 23.860	 0.000	20.450	 4.82	 0.33	 0.05	 3.38	11.98	  4.35	-0.961	 3.428	 0.585
MW-NGC6528 	K 	 6.90	 0.40	 0.40	  0.310	 0.020	 0.020	 5.08	 0.09	 0.09	 9.41	37.86	  0.64	-0.787	 5.181	 0.674
MW-NGC6528 	PL	 3.25	 0.15	 0.15	  0.320	 0.030	 0.030	 5.41	 0.33	 0.16	 9.43	38.48	  0.64	-0.239	 3.876	 0.928
MW-NGC6528 	W 	 7.20	 0.40	 0.50	  0.320	 0.020	 0.020	 5.19	 0.12	 0.11	 9.44	38.21	  0.64	-0.664	 4.920	 0.711
MW-NGC6535 	K 	 6.30	 0.60	 0.60	  0.760	 0.080	 0.060	 3.53	 0.06	 0.06	 1.12	 4.42	  3.88	-1.891	 2.817	 0.499
MW-NGC6535 	PL	 3.60	 0.35	 0.35	  0.880	 0.150	 0.150	 3.67	 0.23	 0.09	 1.14	 4.50	  3.88	-1.741	 2.535	 0.539
MW-NGC6535 	W 	 6.30	 0.80	 0.80	  0.810	 0.100	 0.080	 3.58	 0.10	 0.06	 1.14	 4.47	  3.88	-1.847	 2.755	 0.507
MW-NGC6539 	K 	 7.70	 0.20	 0.30	  0.970	 0.070	 0.050	 5.48	 0.13	 0.13	 7.19	29.86	  3.17	-0.472	 4.166	 0.601
MW-NGC6539 	PL	 3.25	 0.10	 0.10	  1.100	 0.080	 0.090	 5.73	 0.20	 0.16	 7.37	30.08	  3.17	-0.013	 3.098	 0.830
MW-NGC6539 	W 	 7.30	 0.20	 0.30	  1.100	 0.060	 0.040	 5.53	 0.13	 0.13	 7.36	29.93	  3.17	-0.414	 4.085	 0.622
MW-NGC6541 	K 	 8.10	 0.10	 0.20	  0.380	 0.040	 0.020	 5.32	 0.04	 0.04	 8.61	36.34	  2.26	-0.564	 4.778	 0.550
MW-NGC6541 	PL	 3.70	 0.10	 0.05	  0.610	 0.060	 0.030	 5.30	 0.04	 0.04	 9.47	36.98	  2.26	-0.610	 5.096	 0.526
MW-NGC6541 	W 	 6.90	 0.10	 0.10	  0.500	 0.020	 0.020	 5.29	 0.04	 0.04	 9.23	36.99	  2.26	-0.615	 5.051	 0.525
MW-NGC6553 	K 	 5.60	 0.40	 0.40	  1.020	 0.050	 0.050	 5.50	 0.10	 0.09	10.40	40.04	  2.18	-0.504	 4.957	 0.634
MW-NGC6553 	PL	 3.75	 0.20	 0.15	  1.150	 0.090	 0.070	 5.63	 0.11	 0.10	10.44	40.63	  2.18	-0.380	 4.717	 0.659
MW-NGC6553 	W 	 5.80	 0.30	 0.60	  1.050	 0.080	 0.030	 5.55	 0.10	 0.10	10.41	40.33	  2.18	-0.464	 4.884	 0.639
MW-NGC6569 	K 	 6.20	 0.20	 0.20	  1.180	 0.040	 0.040	 5.45	 0.08	 0.08	 8.39	32.93	  2.87	-0.533	 4.680	 0.544
MW-NGC6569 	PL	 3.75	 0.15	 0.10	  1.420	 0.090	 0.060	 5.54	 0.09	 0.09	 8.51	33.11	  2.87	-0.442	 4.520	 0.566
MW-NGC6569 	W 	 6.00	 0.30	 0.30	  1.270	 0.050	 0.050	 5.48	 0.08	 0.08	 8.49	33.07	  2.87	-0.510	 4.658	 0.548
MW-NGC6584 	K 	 6.80	 0.30	 0.30	  1.070	 0.070	 0.060	 5.02	 0.04	 0.04	 4.82	19.32	  6.99	-0.834	 4.073	 0.507
MW-NGC6584 	PL	 3.30	 0.15	 0.15	  1.100	 0.120	 0.120	 5.29	 0.21	 0.10	 4.80	19.47	  6.99	-0.420	 3.090	 0.689
MW-NGC6584 	W 	 6.80	 0.40	 0.40	  1.140	 0.090	 0.080	 5.08	 0.05	 0.04	 4.87	19.44	  6.99	-0.771	 3.962	 0.524
MW-NGC6637 	K 	 6.50	 0.20	 0.10	  0.940	 0.020	 0.040	 5.39	 0.05	 0.05	 8.27	32.79	  1.86	-0.578	 4.696	 0.565
MW-NGC6637 	PL	 3.65	 0.05	 0.10	  1.130	 0.030	 0.060	 5.49	 0.06	 0.05	 8.45	33.12	  1.86	-0.465	 4.501	 0.596
MW-NGC6637 	W 	 6.30	 0.20	 0.10	  1.020	 0.020	 0.040	 5.42	 0.05	 0.05	 8.37	32.90	  1.86	-0.549	 4.664	 0.572
MW-NGC6638 	K 	 6.30	 0.20	 0.10	  0.650	 0.010	 0.020	 5.12	 0.06	 0.06	 7.56	29.78	  2.26	-0.769	 4.886	 0.531
MW-NGC6638 	PL	 3.85	 0.10	 0.05	  0.830	 0.040	 0.020	 5.19	 0.06	 0.06	 7.82	30.21	  2.26	-0.698	 4.812	 0.546
MW-NGC6638 	W 	 5.90	 0.20	 0.20	  0.720	 0.020	 0.020	 5.14	 0.06	 0.06	 7.71	29.96	  2.26	-0.753	 4.894	 0.534
MW-NGC6652 	K 	 7.90	 0.10	 0.20	  0.290	 0.030	 0.010	 4.76	 0.04	 0.04	 5.44	22.78	  2.77	-0.974	 4.477	 0.575
MW-NGC6652 	PL	 3.15	 0.10	 0.05	  0.330	 0.050	 0.020	 5.16	 0.14	 0.15	 5.43	22.47	  2.77	 0.006	 1.975	 1.143
MW-NGC6652 	W 	 7.50	 0.20	 0.10	  0.350	 0.020	 0.030	 4.83	 0.05	 0.04	 5.48	22.43	  2.77	-0.882	 4.287	 0.607
MW-NGC6656 	K 	 6.50	 0.20	 0.10	  1.320	 0.030	 0.050	 5.56	 0.05	 0.05	 8.56	33.96	  4.94	-0.453	 4.645	 0.501
MW-NGC6656 	PL	 3.75	 0.10	 0.10	  1.630	 0.080	 0.080	 5.64	 0.06	 0.06	 8.82	34.30	  4.94	-0.376	 4.546	 0.521
MW-NGC6656 	W 	 6.20	 0.20	 0.20	  1.440	 0.050	 0.050	 5.58	 0.06	 0.05	 8.70	34.08	  4.94	-0.434	 4.640	 0.506
MW-NGC6712 	K 	 5.10	 0.40	 0.40	  1.730	 0.130	 0.120	 5.23	 0.07	 0.07	 6.29	23.86	  3.48	-0.690	 4.362	 0.528
MW-NGC6712 	PL	 4.40	 0.30	 0.30	  2.230	 0.210	 0.220	 5.27	 0.07	 0.07	 6.35	23.87	  3.48	-0.658	 4.321	 0.532
MW-NGC6712 	W 	 4.70	 0.50	 0.60	  1.900	 0.200	 0.140	 5.24	 0.07	 0.07	 6.33	23.86	  3.48	-0.681	 4.356	 0.529
MW-NGC6715 	K 	 8.70	 0.10	 0.10	  0.720	 0.040	 0.040	 6.29	 0.04	 0.04	16.37	71.01	 19.21	 0.165	 4.835	 0.585
MW-NGC6715 	PL	 3.40	 0.05	 0.05	  1.030	 0.050	 0.050	 6.33	 0.05	 0.04	18.71	75.05	 19.21	 0.214	 5.005	 0.605
MW-NGC6715 	W 	 7.30	 0.10	 0.10	  0.920	 0.040	 0.030	 6.24	 0.04	 0.04	18.36	74.64	 19.21	 0.092	 5.251	 0.553
MW-NGC6723 	K 	 5.40	 0.10	 0.20	  2.320	 0.090	 0.050	 5.28	 0.04	 0.04	 5.52	21.13	  2.62	-0.655	 4.039	 0.518
MW-NGC6723 	PL	 4.75	 0.20	 0.15	  3.360	 0.180	 0.140	 5.28	 0.04	 0.04	 5.69	21.13	  2.62	-0.652	 4.090	 0.523
MW-NGC6723 	W 	 4.50	 0.30	 0.20	  2.710	 0.090	 0.140	 5.28	 0.04	 0.04	 5.64	21.18	  2.62	-0.657	 4.082	 0.521
MW-NGC6760 	K 	 7.40	 0.20	 0.20	  0.760	 0.040	 0.040	 5.44	 0.11	 0.11	 8.23	33.74	  4.86	-0.518	 4.519	 0.609
MW-NGC6760 	PL	 3.30	 0.10	 0.10	  0.860	 0.060	 0.060	 5.66	 0.16	 0.13	 8.41	34.10	  4.86	-0.153	 3.699	 0.775
MW-NGC6760 	W 	 7.20	 0.20	 0.30	  0.830	 0.050	 0.030	 5.50	 0.11	 0.11	 8.39	33.98	  4.86	-0.446	 4.402	 0.633
MW-NGC6779 	K 	 6.50	 0.20	 0.30	  1.360	 0.060	 0.040	 5.17	 0.04	 0.05	 5.34	21.19	  9.64	-0.733	 4.124	 0.502
MW-NGC6779 	PL	 3.40	 0.15	 0.10	  1.450	 0.120	 0.080	 5.39	 0.09	 0.09	 5.35	21.44	  9.64	-0.449	 3.489	 0.605
MW-NGC6779 	W 	 6.70	 0.30	 0.30	  1.420	 0.060	 0.050	 5.23	 0.06	 0.05	 5.35	21.27	  9.64	-0.666	 3.986	 0.518
MW-NGC6809 	K 	 4.50	 0.10	 0.20	  3.250	 0.190	 0.090	 4.99	 0.04	 0.04	 3.73	13.89	  3.89	-0.862	 3.584	 0.499
MW-NGC6809 	PL	 6.70	 0.25	 0.25	  6.360	 0.290	 0.300	 5.02	 0.04	 0.04	 3.98	14.24	  3.89	-0.826	 3.650	 0.509
MW-NGC6809 	W 	 2.70	 0.20	 0.20	  4.700	 0.260	 0.240	 5.01	 0.04	 0.04	 3.88	14.15	  3.89	-0.840	 3.629	 0.504
MW-NGC6864 	K 	 7.90	 0.10	 0.10	  0.560	 0.020	 0.020	 5.65	 0.04	 0.04	10.94	45.81	 14.61	-0.341	 4.890	 0.559
MW-NGC6864 	PL	 3.70	 0.05	 0.05	  0.900	 0.040	 0.040	 5.66	 0.04	 0.04	11.88	46.39	 14.61	-0.352	 5.106	 0.544
MW-NGC6864 	W 	 6.80	 0.10	 0.10	  0.740	 0.030	 0.030	 5.65	 0.04	 0.04	11.67	46.61	 14.61	-0.368	 5.103	 0.540
MW-NGC6934 	K 	 7.00	 0.20	 0.10	  1.080	 0.040	 0.080	 5.20	 0.04	 0.04	 5.69	22.98	 12.81	-0.701	 4.193	 0.510
MW-NGC6934 	PL	 4.15	 0.10	 0.05	  1.750	 0.100	 0.050	 5.22	 0.04	 0.04	 6.27	23.83	 12.81	-0.692	 4.389	 0.506
MW-NGC6934 	W 	 6.00	 0.20	 0.10	  1.340	 0.040	 0.090	 5.21	 0.04	 0.04	 6.09	23.70	 12.81	-0.700	 4.340	 0.504
MW-NGC6981 	K 	 5.80	 0.20	 0.10	  2.460	 0.070	 0.140	 5.00	 0.04	 0.04	 3.66	14.20	 12.93	-0.856	 3.534	 0.502
MW-NGC6981 	PL	 4.90	 0.15	 0.10	  4.050	 0.200	 0.140	 5.01	 0.04	 0.04	 3.93	14.51	 12.93	-0.841	 3.647	 0.508
MW-NGC6981 	W 	 4.80	 0.20	 0.20	  2.950	 0.140	 0.140	 5.00	 0.04	 0.04	 3.81	14.40	 12.93	-0.850	 3.604	 0.504
MW-NGC7006 	K 	 6.60	 0.10	 0.20	  2.170	 0.120	 0.060	 5.20	 0.04	 0.04	 4.30	17.12	 38.85	-0.711	 3.625	 0.502
MW-NGC7006 	PL	 4.10	 0.05	 0.10	  3.260	 0.080	 0.160	 5.25	 0.04	 0.04	 4.66	17.75	 38.85	-0.671	 3.722	 0.505
MW-NGC7006 	W 	 5.90	 0.20	 0.10	  2.560	 0.060	 0.120	 5.22	 0.04	 0.04	 4.51	17.51	 38.85	-0.695	 3.698	 0.502
MW-NGC7089 	K 	 7.20	 0.10	 0.10	  1.100	 0.040	 0.040	 5.84	 0.04	 0.04	11.31	46.01	 10.34	-0.242	 4.853	 0.514
